,delta_perplexity,delta_plan_length,gpt3_plan_length,gt_plan_length,gpt3_perplexity,gt_perplexity
50,0.02545195493575747,-2,4,6,-14.435147744940316,-14.460599699876074
51,-0.09089935248096914,0,4,4,-13.475589104576244,-13.384689752095275
52,-0.002974001477872079,2,4,2,-13.790848500281573,-13.787874498803701
53,0.0,0,2,2,-13.505132578446396,-13.505132578446396
54,0.20383763696739088,1,3,2,-13.466612511338331,-13.670450148305722
55,-1.0543116983763632,-6,2,8,-13.620823144380536,-12.566511446004172
56,-0.13312111804221516,-4,2,6,-13.795790586487524,-13.662669468445308
57,0.013574201047672929,-1,7,8,-14.510754484441373,-14.524328685489046
58,-0.9145740045238675,2,8,6,-14.619863155466247,-13.705289150942379
59,0.4181327686030816,-2,2,4,-12.971868374943734,-13.390001143546815
60,-0.3294220794995244,1,5,4,-14.18939568400383,-13.859973604504306
61,-0.2500779316133741,-2,4,6,-14.383473076212864,-14.13339514459949
62,0.03649172278861634,-4,4,8,-13.350108044221997,-13.386599767010614
63,0.07683285568133869,0,8,8,-14.517607528491911,-14.59444038417325
64,-0.8855188098830684,6,8,2,-14.381065887634653,-13.495547077751585
65,-0.039497888005442405,0,4,4,-13.983415315714147,-13.943917427708705
66,-1.0057095778058276,-2,4,6,-13.905571942031383,-12.899862364225555
67,-0.8847464970474803,-2,4,6,-13.807373230407636,-12.922626733360156
68,0.3668323785385006,1,5,4,-13.241188339774425,-13.608020718312925
69,-0.2827192415563893,-1,5,6,-14.202039071401725,-13.919319829845335
70,-0.27726556617189146,2,4,2,-14.02683970934533,-13.749574143173438
71,-0.570791029004436,-4,2,6,-14.136305330321193,-13.565514301316757
72,0.0,0,2,2,-14.39823774674109,-14.39823774674109
73,-0.129913802693288,0,4,4,-13.38529413930244,-13.255380336609152
74,-0.8425043446930687,-4,4,8,-13.416990169551637,-12.574485824858568
75,0.0,0,8,8,-14.384754108287483,-14.384754108287483
76,-0.18764975412358886,2,8,6,-14.25949943492032,-14.071849680796731
77,-0.017148509938666123,0,4,4,-13.80067951929696,-13.783531009358294
78,-0.26862502758701545,3,7,4,-13.63357071990768,-13.364945692320665
79,-0.5101964283186238,-4,2,6,-13.785387488614235,-13.275191060295612
80,0.07945063146082987,-4,4,8,-14.221005506979095,-14.300456138439925
81,-0.9653321934455814,4,8,4,-14.646694120648036,-13.681361927202454
82,-0.025439359890853552,1,5,4,-13.568340543141732,-13.542901183250878
83,-0.14829917211262966,2,4,2,-13.849307125558456,-13.701007953445826
84,-0.8406995672797262,-2,4,6,-14.017056443956163,-13.176356876676437
85,0.041197391285095364,0,6,6,-14.29764799575787,-14.338845387042966
86,-0.250933860238284,-2,4,6,-13.489354881041862,-13.238421020803578
87,0.03743501933446858,1,7,6,-14.248284648110468,-14.285719667444937
88,0.03254475978654625,0,6,6,-14.054487376241013,-14.08703213602756
89,-0.06871989583893878,2,6,4,-14.268473911797628,-14.199754015958689
90,0.12354367852528014,0,4,4,-14.481697326090108,-14.605241004615388
91,-0.36789773773212,-4,4,8,-13.73450128797521,-13.36660355024309
92,-1.338693161854538,2,4,2,-14.769750053023404,-13.431056891168867
93,0.5484443981073408,-4,4,8,-13.829205674892766,-14.377650073000106
94,0.02914527170808867,0,8,8,-14.15902657160558,-14.188171843313668
95,-0.07524066328643464,0,8,8,-14.985210857657066,-14.909970194370631
96,-1.039252237469702,6,8,2,-14.395388700786125,-13.356136463316423
97,-0.3623049910695819,-4,2,6,-14.466495487040707,-14.104190495971125
98,0.053657444828051126,2,4,2,-13.521412491164309,-13.57506993599236
